ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
1585,60000,6,1000000,2,36,0,2,481,0,,,15
2764,6652131,221.7,3000000,452,90,9,1,234,83,800000,6000,24
2569,392000,21.7,1800000,27,91,0,12,260,0,,,46
620,328000,32.8,1000000,20,92,2,7,129,0,,,53
244,680000,45.3,1500000,33,90,0,0,183,0,,,14
1311,5197884,103.9,5000000,251,84,0,1,45,0,,,16
2752,4847000,161.5,3000000,187,69,1,3,274,596,3000000,5000,64
629,215000,11.8,1815000,9,03,3,2,162,10,70000,10000,26
2104,2955000,147.7,2000000,119,62,20,5,637,11,100000,10000,25
888,37000,1.2,3000000,3,90,0,0,0,122,500000,10000,21
272,2100000,105,2000000,20,64,0,0,0,9,70000,6000,22
2907,4192000,139.7,3000000,69,90,0,3,11,101,1200000,7000,20
2331,2045000,102.2,2000000,44,92,2,1,0,119,560000,7000,28
844,700000,70,1000000,33,90,13,1,270,4,100000,5000,13
2567,330000,8.2,4000000,27,90,0,0,299,0,,,16
2755,7866000,170.4,4616000,226,90,0,11,210,14,3500000,8000,47
1124,125000,6.2,2000000,8,90,1,0,399,8,70000,5000,15
611,1821100,121.4,1500000,189,93,20,2,0,3,10000,5000,42
275,1000000,100,1000000,93,88,14,0,286,4,50000,5000,15
1329,4243254,141.4,3000000,352,90,20,1,219,5,50000,5000,46
2748,2159000,154.2,1400000,194,55,0,3,298,0,,,15
2545,7359000,100.1,7350000,331,48,10,3,380,617,800000,6000,117
268,3100000,155,2000000,7,90,0,0,0,0,,,19
1596,2398000,119.9,2000000,136,91,20,2,141,0,,,20
1334,1127000,32.9,3420000,91,90,0,0,231,0,,,17
2589,1380000,62.7,2200000,77,91,3,0,79,510,1260000,5000,40
250,581000,5.8,10000000,6,14,2,0,325,4,1000000,10000,20
2784,2377000,237.7,1000000,61,31,4,1,505,22,335000,3000,16
2126,3026000,10,30000000,122,76,20,1,326,6,45000,12000,24
2542,3879000,38.7,10000000,87,02,0,1,429,0,,,19
439,670000,67,1000000,17,55,0,1,336,0,,,15
2770,80000,8,1000000,2,91,0,0,147,0,,,9
1598,714000,71.4,1000000,57,50,0,3,166,0,,,18
2779,7265376,72.6,10000000,338,90,20,4,259,94,500000,2000,20
430,1572000,157.2,1000000,50,88,0,1,437,0,,,23
2746,2806000,140.3,2000000,110,62,16,4,445,34,300000,6000,25
2128,876000,17.5,5000000,49,91,0,3,74,933,3000000,5000,29
850,1590000,106,1500000,76,90,0,0,73,1,10000,10000,18
1792,154000,3,5000000,16,73,2,1,448,0,,,16
