ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
2748,"2,159,000",154.2,"目標金額：1,400,000円",,20231112023122555,0,3,298,0,,,15
2545,"7,359,000",100.1,"目標金額：7,350,000円",,20239292023111548,10,3,380,617,800000,6000,117
268,"3,100,000",155,"目標金額：2,000,000円",,2018220201852090,0,,0,0,,,19
1596,"2,398,000",119.9,"目標金額：2,000,000円",,202241202263091,20,2,141,0,,,20
1334,"1,127,000",32.9,"目標金額：3,420,000円",,20211032021123190,0,,231,0,,,17
2589,"1,380,000",62.7,"目標金額：2,200,000円",,20231022023123191,3,,79,510,1260000,5000,40
250,"581,000",5.8,"目標金額：10,000,000円",,20171272018331114,2,,325,4,1000000,10000,20
2784,"2,377,000",237.7,"目標金額：1,000,000円",,20231212023123131,4,1,505,22,335000,3000,16
2126,"3,026,000",10,"目標金額：30,000,000円",,20221215202322876,20,1,326,6,45000,12000,24
2542,"3,879,000",38.7,"目標金額：10,000,000円",,202392120231231102,0,1,429,0,,,19
439,"670,000",67,"目標金額：1,000,000円",,20181122201911555,0,1,336,0,,,15
2770,"80,000",8,"目標金額：1,000,000円",,20231127202422591,0,,147,0,,,9
1598,"714,000",71.4,"目標金額：1,000,000円",,2022210202233150,0,3,166,0,,,18
2779,"7,265,376",72.6,"目標金額：10,000,000円",,202312420243290,20,4,259,94,500000,2000,20
430,"1,572,000",157.2,"目標金額：1,000,000円",,20181015201911088,0,1,437,0,,,23
2746,"2,806,000",140.3,"目標金額：2,000,000円",,20231110202411062,16,4,445,34,300000,6000,25
2128,"876,000",17.5,"目標金額：5,000,000円",,20221114202321291,0,3,74,933,3000000,5000,29
850,"1,590,000",106,"目標金額：1,500,000円",,2020617202091490,0,,73,1,10000,10000,18
1792,"154,000",3,"目標金額：5,000,000円",,2022720202293073,2,1,448,0,,,16
408,"1,815,000",12.1,"目標金額：15,000,000円",,20181012018123192,0,1,260,10,1000000,5000,18
2587,"3,615,000",36.1,"目標金額：10,000,000円",,202310132023123180,0,,295,36,1000000,10000,20
2527,"965,000",38.6,"目標金額：2,500,000円",,202394202312391,0,2,213,0,,,16
2385,"6,570,000",65.7,"目標金額：10,000,000円",,20237192023101589,20,13,249,0,,,39
1500,"370,000",37,"目標金額：1,000,000円",,2021111202212990,14,1,177,12,101000,5000,29
651,"2,020,000",202,"目標金額：1,000,000円",,20191012019123192,11,1,282,0,,,25
235,"6,153,000",307.6,"目標金額：2,000,000円",,2017126201822885,11,,650,0,,,18
497,"2,771,677",277.1,"目標金額：1,000,000円",,20181217201931589,20,1,620,4,30000,1000,21
1735,"2,138,000",106.9,"目標金額：2,000,000円",,2022812022103192,5,2,0,93,3390000,9000,26
1351,"1,365,000",136.5,"目標金額：1,000,000円",,20211042021123188,3,2,283,0,,,17
2520,"1,908,000",95.4,"目標金額：2,000,000円",,2023922023113090,3,1,163,190,500000,1000,28
2376,"4,892,333",195.6,"目標金額：2,500,000円",,202381202393061,11,2,121,224,2500000,7000,46
2186,"1,678,000",36.3,"目標金額：4,611,000円",,2022121202322890,0,,111,0,,,14
452,"428,000",21.4,"目標金額：2,000,000円",,2018111201913192,0,1,325,3,11000,10000,21
658,"240,000",24,"目標金額：1,000,000円",,20191072019123186,5,1,189,5,30000,10000,25
2175,"3,846,000",192.3,"目標金額：2,000,000円",,2023412202353150,20,1,111,62,165000,5500,28
2378,"639,000",21.3,"目標金額：3,000,000円",,202363020238638,0,,555,66,40000,3000,18
667,"60,000",6,"目標金額：1,000,000円",,2019118202013185,0,,77,0,,,18
1951,"1,163,000",35.4,"目標金額：3,280,000円",,2022121202322890,0,1,337,236,3400000,3000,21
260,"1,010,000",101,"目標金額：1,000,000円",,2018129201822831,18,4,14,0,,,20
2116,"2,662,000",1,"目標金額：250,000,000円",,2022113202313190,0,4,182,362,920000,2000,112
2572,"7,082,783",177,"目標金額：4,000,000円",,20231022023123191,0,5,130,0,,,58
409,"1,359,058",135.9,"目標金額：1,000,000円",,201810112018123182,17,2,508,1,50000,50000,27
267,"485,000",4.8,"目標金額：10,000,000円",,2018126201832559,0,,447,0,,,24
431,"10,000",0.2,"目標金額：4,000,000円",,2018105201812259,0,,365,0,,,11
603,"10,923,000",36.4,"目標金額：30,000,000円",,20198302020331215,2,,170,22,75000,8000,38
293,"7,972,748",132.8,"目標金額：6,000,000円",,2018423201872190,0,,276,17,100000,5000,38
2575,"1,082,000",90.1,"目標金額：1,200,000円",,20231020202411891,10,1,0,3,50000,10000,32
635,"1,428,181",10.2,"目標金額：14,000,000円",,201910820201792,0,1,250,0,,,25
2588,"628,000",62.8,"目標金額：1,000,000円",,20239222023122090,20,2,240,3,10000,2000,27
1903,"2,562,000",25.6,"目標金額：10,000,000円",,20221032022121675,0,1,200,20,115000,10000,20
2315,"936,000",78,"目標金額：1,200,000円",,2023619202373143,0,3,348,79,174000,5000,20
1590,"289,000",4.8,"目標金額：6,000,000円",,20222120225190,0,,189,16,52000,12000,16
2543,"383,000",21.2,"目標金額：1,800,000円",,2023111202412990,7,1,114,14,200000,3000,14
1332,"1,252,000",125.2,"目標金額：1,000,000円",,2021912021113091,3,,0,0,,,19
1904,"2,024,000",40.4,"目標金額：5,000,000円",,2022992023331204,0,1,434,0,,,25
2782,"1,945,000",194.5,"目標金額：1,000,000円",,20231212023123131,4,3,545,22,335000,3000,21
269,"730,000",73,"目標金額：1,000,000円",,201842201863090,0,,61,1,20000,20000,20
2120,"1,046,777",104.6,"目標金額：1,000,000円",,202211112022123151,0,,305,13,33000,12000,18
2180,"8,874,000",177.4,"目標金額：5,000,000円",,2022121202322890,0,1,0,40,300000,6000,16
1537,"930,000",54.7,"目標金額：1,700,000円",,20211115202211562,14,2,0,0,,,26
833,"11,449,000",114.4,"目標金額：10,000,000円",,202051202072990,20,2,266,9,1040000,12000,17
692,"532,800",53.2,"目標金額：1,000,000円",,20191112019122555,0,,151,0,,,18
2379,"4,893,000",97.8,"目標金額：5,000,000円",,2023812024131184,0,,45,1,100000,100000,11
454,"20,000",1,"目標金額：2,000,000円",,20181112018123161,0,1,597,0,,,16
2341,"2,203,000",100.1,"目標金額：2,200,000円",,2023882023103084,0,1,237,3,200000,10000,18
2173,"90,000",4.5,"目標金額：2,000,000円",,20221216202331691,0,,275,5,10000,10000,23
2517,"284,000",7.1,"目標金額：4,000,000円",,20231022023123191,0,4,159,21,59000,11000,23
1366,"1,003,200",100.3,"目標金額：1,000,000円",,20219172021113075,19,6,0,6,50000,5000,50
1968,"572,000",16,"目標金額：3,564,000円",,20229282022122387,0,,121,0,,,12
453,"4,864,000",138.9,"目標金額：3,500,000円",,20181112018123161,11,1,475,0,,,20
2377,"593,000",59.3,"目標金額：1,000,000円",,20237142023101291,0,,246,7,36000,16000,13
1350,"289,000",28.9,"目標金額：1,000,000円",,2021912021103161,0,,325,0,,,13
657,"861,000",4.3,"目標金額：20,000,000円",,20191021202012092,0,,165,159,1850000,6000,55
1165,"1,069,310",53.4,"目標金額：2,000,000円",,20201224202122867,17,2,452,0,,,21
1357,"2,280,000",76,"目標金額：3,000,000円",,20211012202211090,0,3,126,31,300000,10000,58
2142,"1,070,500",107,"目標金額：1,000,000円",,20221272022123125,3,,88,90,100000,6000,16
805,"12,948,938",64.7,"目標金額：20,000,000円",,20204242021331342,18,,108,1,30000,30000,22
2370,"20,368,000",678.9,"目標金額：3,000,000円",,202310192023122063,0,14,88,0,,,70
2189,"2,116,000",105.8,"目標金額：2,000,000円",,20221124202322190,20,2,299,0,,,28
496,"40,000",3.3,"目標金額：1,200,000円",,20181214201912038,0,2,306,1,5000,5000,23
2519,"14,233,000",142.3,"目標金額：10,000,000円",,202310262023123167,0,2,147,23,350000,10000,22
1028,"525,000",52.5,"目標金額：1,000,000円",,2020111202113192,17,1,317,9,10000,5000,30
